ubicacion;provincia
AEROPARQUE AERO;Buenos Aires
AZUL AERO;Buenos Aires
BAHIA BLANCA AERO;Buenos Aires
BARILOCHE AERO;Río Negro
BASE BELGRANO II;Antártida
BASE CARLINI (EX JUBANY);Antártida
BASE ESPERANZA;Antártida
BASE MARAMBIO;Antártida
BASE ORCADAS;Antártida
BASE SAN MARTIN;Antártida
BENITO JUAREZ AERO;Buenos Aires
BERNARDO DE IRIGOYEN AERO;Misiones
BOLIVAR AERO;Buenos Aires
BUENOS AIRES OBSERVATORIO;Buenos Aires
CAMPO DE MAYO AERO;Buenos Aires
CATAMARCA AERO;Catamarca
CERES AERO;Santa Fe
CHAMICAL AERO;La Rioja
CHAPELCO AERO;Neuquén
CHEPES;La Rioja
CHILECITO AERO;La Rioja
CIPOLLETTI;Río Negro
COMODORO RIVADAVIA AERO;Chubut
CONCORDIA AERO;Entre Ríos
CORDOBA AERO;Córdoba
CORDOBA OBSERVATORIO;Córdoba
CORONEL PRINGLES AERO;Buenos Aires
CORONEL SUAREZ AERO;Buenos Aires
CORRIENTES AERO;Corrientes
DOLORES AERO;Buenos Aires
EL BOLSON AERO;Río Negro
EL CALAFATE AERO;Santa Cruz
EL PALOMAR AERO;Buenos Aires
EL TREBOL;Santa Fe
ESCUELA DE AVIACION MILITAR AERO;Córdoba
ESQUEL AERO;Chubut
EZEIZA AERO;Buenos Aires
FORMOSA AERO;Formosa
GENERAL PICO AERO;La Pampa
GOBERNADOR GREGORES AERO;Santa Cruz
GUALEGUAYCHU AERO;Entre Ríos
IGUAZU AERO;Misiones
ITUZAINGO;Buenos Aires
JACHAL;San Juan
JUJUY AERO;Jujuy
JUJUY U N;Jujuy
JUNIN AERO;Buenos Aires
LA PLATA AERO;Buenos Aires
LA QUIACA OBSERVATORIO;Jujuy
LA RIOJA AERO;La Rioja
LABOULAYE AERO;Córdoba
LAS FLORES;Buenos Aires
LAS LOMITAS;Formosa
MALARGUE AERO;Mendoza
MAQUINCHAO;Río Negro
MAR DEL PLATA AERO;Buenos Aires
MARCOS JUAREZ AERO;Córdoba
MARIANO MORENO AERO;Buenos Aires
MENDOZA AERO;Mendoza
MERCEDES AERO (CTES);Corrientes
MERLO AERO;Buenos Aires
METAN;Salta
MONTE CASEROS AERO;Corrientes
MORON AERO;Buenos Aires
NEUQUEN AERO;Neuquén
NUEVE DE JULIO;Buenos Aires
OBERA;Misiones
OLAVARRIA AERO;Buenos Aires
ORAN AERO;Salta
PARANA AERO;Entre Ríos
PASO DE INDIOS;Chubut
PASO DE LOS LIBRES AERO;Corrientes
PEHUAJO AERO;Buenos Aires
PERITO MORENO AERO;Santa Cruz
PIGUE AERO;Buenos Aires
PILAR OBSERVATORIO;Buenos Aires
POSADAS AERO;Misiones
PRESIDENCIA ROQUE SAENZ PEÑA AERO;Chaco
PUERTO DESEADO AERO;Santa Cruz
PUERTO MADRYN AERO;Chubut
PUNTA INDIO B.A.;Buenos Aires
RAFAELA AERO;Santa Fe
RECONQUISTA AERO;Santa Fe
RESISTENCIA AERO;Chaco
RIO COLORADO;Río Negro
RIO CUARTO AERO;Córdoba
RIO GALLEGOS AERO;Santa Cruz
RIO GRANDE B.A.;Buenos Aires
RIVADAVIA;Buenos Aires
ROSARIO AERO;Santa Fe
SALTA AERO;Salta
SAN ANTONIO OESTE AERO;Río Negro
SAN CARLOS (MZA);Mendoza
SAN FERNANDO AERO;Buenos Aires
SAN JUAN AERO;San Juan
SAN JULIAN AERO;Santa Cruz
SAN LUIS AERO;San Luis
SAN MARTIN (MZA);Mendoza
SAN RAFAEL AERO;Mendoza
SANTA CRUZ AERO;Santa Cruz
SANTA ROSA AERO;La Pampa
SANTA ROSA DE CONLARA AERO;San Luis
SANTIAGO DEL ESTERO AERO;Santiago del Estero
SAUCE VIEJO AERO;Santa Fe
SUNCHALES AERO;Santa Fe
TANDIL AERO;Buenos Aires
TARTAGAL AERO;Salta
TERMAS DE RIO HONDO AERO;Santiago del Estero
TINOGASTA;Catamarca
TRELEW AERO;Chubut
TRENQUE LAUQUEN;Buenos Aires
TRES ARROYOS;Buenos Aires
TUCUMAN AERO;Tucumán
USHUAIA AERO;Tierra del Fuego
USPALLATA;Mendoza
VENADO TUERTO AERO;Santa Fe
VICTORICA;La Pampa
VIEDMA AERO;Río Negro
VILLA DE MARIA DEL RIO SECO;Córdoba
VILLA DOLORES AERO;Córdoba
VILLA GESELL AERO;Buenos Aires
VILLA REYNOLDS AERO;San Luis